gender,age,city_zone,mother_education,father_education,educational_support,private_classes,internet,dating,free_time,friends,alcohol_business_days,alcohol_weekend,outcome
1,18,0,4,4,1,0,0,0,3,4,1,1,0
1,17,0,1,1,0,0,1,0,3,3,1,1,0
1,15,0,1,1,1,0,1,0,3,2,2,3,0
1,15,0,4,2,0,0,1,1,2,2,1,1,1
1,16,0,3,3,0,0,0,0,3,2,1,2,0
0,16,0,4,3,0,0,1,0,4,2,1,2,0
0,16,0,2,2,0,0,1,0,4,4,1,1,0
1,17,0,4,4,1,0,0,0,1,4,1,1,0
0,15,0,3,2,0,0,1,0,2,2,1,1,1
0,15,0,3,4,0,0,1,0,5,1,1,1,0
1,15,0,4,4,0,0,1,0,3,3,1,2,1
1,15,0,2,1,0,0,1,0,2,2,1,1,0
0,15,0,4,4,0,0,1,0,3,3,1,3,0
0,15,0,4,3,0,0,1,0,4,3,1,2,0
0,15,0,2,2,0,0,1,1,5,2,1,1,1
1,16,0,4,4,0,0,1,0,4,4,1,2,1
1,16,0,4,4,0,0,1,0,2,3,1,2,0
1,16,0,3,3,1,0,0,0,3,2,1,1,0
0,17,0,3,2,0,1,1,0,5,5,2,4,0
0,16,0,4,3,0,0,1,0,1,3,1,3,0
0,15,0,4,3,0,0,1,0,4,1,1,1,0
0,15,0,4,4,0,1,1,0,4,2,1,1,0
0,16,0,4,2,0,0,1,0,5,1,1,3,0
0,16,0,2,2,0,0,1,0,4,4,2,4,0
1,15,1,2,4,1,0,1,0,3,2,1,1,0
1,16,0,2,2,0,0,1,0,2,2,1,3,0
0,15,0,2,2,0,0,1,0,2,2,1,2,0
0,15,0,4,2,0,0,1,0,2,4,2,4,0
0,16,0,3,4,1,1,1,0,3,3,1,1,0
0,16,0,4,4,0,1,1,1,4,5,5,5,0
0,15,0,4,4,0,1,1,0,4,2,3,4,0
0,15,0,4,4,0,0,1,0,3,1,1,1,1
0,15,1,4,3,0,0,1,1,5,2,1,1,0
0,15,0,3,3,0,0,1,0,3,2,1,1,0
0,16,0,3,2,0,0,1,0,4,3,1,1,0
1,15,0,2,3,0,0,0,0,5,1,1,1,0
0,15,0,4,3,0,0,1,0,4,3,1,1,1
0,16,1,4,4,0,0,1,1,4,3,1,1,0
1,15,1,3,4,1,0,1,0,3,2,1,1,0
1,15,1,2,2,1,0,0,0,3,1,1,1,0
1,16,0,2,2,0,0,1,1,3,3,1,2,0
0,15,0,4,4,0,0,1,1,4,3,2,4,0
0,15,0,4,4,0,0,1,0,3,3,1,1,1
0,15,0,2,2,1,0,1,0,4,1,1,1,0
1,16,0,2,2,1,0,1,0,3,3,2,2,0
1,15,0,4,3,1,1,1,1,2,2,1,1,0
1,16,0,3,3,0,0,1,0,3,5,1,4,0
0,16,0,4,3,0,0,1,0,2,2,1,1,1
0,15,0,4,2,0,0,0,0,3,3,2,2,0
1,15,0,4,4,1,0,1,0,4,4,1,1,0
